0,1,2,3,4,5,6,7,8,9
1.2825251,1.2546668,1.2761072,1.2433197,1.2606375,1.2567081,1.2629291,1.2675717,1.2716004,1.2611893
1.2818002,1.254867,1.2765222,1.2434524,1.2612857,1.2559003,1.262845,1.26758,1.2722355,1.2617438
1.2810752,1.255067,1.2769371,1.2435851,1.2619339,1.2550924,1.2627612,1.2675883,1.2728723,1.2622981
1.2803503,1.2552671,1.2773521,1.2437177,1.2625821,1.2542845,1.2626773,1.2675966,1.2735091,1.2628525
1.2796254,1.2554672,1.2777671,1.2438504,1.2632303,1.2534782,1.2625934,1.267605,1.274146,1.263407
1.2789005,1.2556673,1.2781819,1.2439829,1.2638845,1.2526718,1.2625095,1.2676132,1.2747828,1.2639614
1.2781756,1.2558674,1.2785969,1.2441156,1.264541,1.2518655,1.2624257,1.2676215,1.2754196,1.2645159
1.2774507,1.2560675,1.2790118,1.2442483,1.2651974,1.2510592,1.2623419,1.2676297,1.2760564,1.2650703
1.2767256,1.2562675,1.2794268,1.2443808,1.2658538,1.2502528,1.2622579,1.2676381,1.2766933,1.2656248
1.2760007,1.2564677,1.279839,1.2445135,1.2665102,1.2494466,1.2621741,1.2676464,1.2773302,1.2661792
1.2752758,1.2566677,1.2802477,1.2446461,1.2671666,1.2486403,1.2620903,1.2676547,1.277967,1.2667336
1.2745509,1.2568679,1.2806563,1.2447788,1.2678231,1.247834,1.2620065,1.267663,1.2786038,1.267288
1.273826,1.2570679,1.2810658,1.2449114,1.2684795,1.2470276,1.2619227,1.2676712,1.2792406,1.2678424
1.2731011,1.2572681,1.2814957,1.245044,1.2691358,1.2462213,1.2618389,1.2676796,1.2798772,1.2683969
1.2723762,1.2574681,1.2819351,1.2451767,1.2697923,1.245415,1.2617632,1.2676826,1.2804675,1.2689513
1.2717738,1.2576926,1.2823614,1.2453094,1.2704226,1.2446173,1.2617481,1.2676785,1.2810318,1.2695057
1.2712266,1.2579464,1.2826957,1.2455043,1.2709682,1.244119,1.2617329,1.2676916,1.2814406,1.2700155
1.2706816,1.2582027,1.2830299,1.2458218,1.2715139,1.2437224,1.2617176,1.2677047,1.2818589,1.2705202
1.2701616,1.2584597,1.283321,1.2461394,1.2720015,1.2433752,1.2616999,1.2677178,1.2822771,1.2710191
1.2696303,1.2587167,1.283602,1.246457,1.2724594,1.2431098,1.2616823,1.2677308,1.2826954,1.2714944
1.2690967,1.259009,1.2837974,1.2467443,1.2729162,1.2428443,1.2616646,1.2677394,1.2830627,1.2719337
1.2685632,1.259302,1.2839462,1.2470155,1.2731795,1.242579,1.2616353,1.2677181,1.2833185,1.2722738
1.2680988,1.2595891,1.2839541,1.2473078,1.2734,1.2423135,1.2615594,1.2676297,1.2835801,1.2726138
1.2676363,1.2598397,1.2839199,1.2476293,1.273615,1.2420481,1.2614834,1.2675413,1.2838233,1.2729539
1.2671736,1.260102,1.2836777,1.2479696,1.273842,1.2421652,1.2613994,1.2674303,1.2836697,1.2730615
1.266897,1.2603782,1.2832468,1.2483224,1.2737225,1.2426947,1.2613008,1.2672104,1.2832332,1.2727001
1.2666229,1.2606546,1.2828159,1.2486751,1.2735988,1.2432631,1.2612666,1.2669992,1.2827966,1.2723069
1.2664062,1.2609383,1.2823851,1.2490278,1.273475,1.2438338,1.261279,1.2667894,1.2823602,1.2719138
1.2662163,1.2612405,1.281884,1.2493806,1.2733577,1.2444329,1.2612914,1.266584,1.2818977,1.2714875
1.2660264,1.2615427,1.2813579,1.2497333,1.2732595,1.2450405,1.2613617,1.2663171,1.2813523,1.2710482
1.2657096,1.2618197,1.280969,1.2500249,1.2732087,1.2454712,1.2613739,1.2660074,1.280807,1.2706089
1.2654208,1.2620575,1.2806895,1.2503333,1.2729894,1.2459393,1.2614083,1.2657605,1.2802156,1.2701699
1.2654446,1.262168,1.2800672,1.2506607,1.2724004,1.2467768,1.2613184,1.2654094,1.2792276,1.2694706
1.2654822,1.2622536,1.2792815,1.2509745,1.2717422,1.2476416,1.2611521,1.2650526,1.278253,1.2686756
1.2654358,1.2623104,1.2784972,1.2513275,1.2710726,1.2485327,1.2609935,1.2647458,1.2772563,1.2679137
1.2653918,1.2623616,1.2777593,1.2516775,1.2704691,1.24942,1.260898,1.2644613,1.2762595,1.2672087
1.265419,1.262378,1.276972,1.252,1.269775,1.2503325,1.2607831,1.2641023,1.2752361,1.2664059
1.2654384,1.2623912,1.276141,1.2522364,1.2690243,1.2513173,1.26064,1.2637291,1.2741185,1.2655448
1.2654496,1.2624116,1.2752118,1.2524744,1.2682515,1.252321,1.2604785,1.2633458,1.2728919,1.2646605
1.2654474,1.2624166,1.2742547,1.2527096,1.2674702,1.2533247,1.2602977,1.2629548,1.2716341,1.2637621
1.2654463,1.2624139,1.2732204,1.2529185,1.2666733,1.2543293,1.2601151,1.2625648,1.2703863,1.2628621
1.2654593,1.2623974,1.2721549,1.2530818,1.2658563,1.2553425,1.259933,1.2621624,1.2691014,1.2619396
1.2654723,1.2623808,1.2710898,1.2532426,1.2650605,1.2563504,1.2597544,1.2617643,1.2678164,1.2610171
1.2654879,1.2623596,1.2700328,1.2534022,1.2642705,1.2573467,1.2595813,1.2613778,1.2665315,1.2601029
1.265532,1.2623576,1.2689759,1.2535617,1.2635498,1.2583432,1.2594084,1.2609915,1.2652466,1.2591932
1.2655741,1.262378,1.2679169,1.2537501,1.2628481,1.2593397,1.2592353,1.260605,1.2639656,1.2582829
1.2655472,1.2623426,1.2668476,1.2539755,1.2621527,1.2602869,1.2590688,1.2602417,1.2627679,1.2573905
1.2655611,1.2622911,1.2659014,1.2540827,1.261482,1.2610426,1.2589121,1.2599014,1.2616732,1.2565823
1.2655884,1.2622528,1.2652436,1.254088,1.2609979,1.2616737,1.2587833,1.2596104,1.260773,1.2559606
1.2656223,1.2622111,1.2647533,1.2540641,1.2606697,1.2621921,1.2586999,1.2593201,1.2600921,1.2553803
1.2656562,1.2621456,1.2642629,1.2540662,1.2603514,1.2627282,1.2586173,1.2590299,1.259418,1.2548013
1.2657219,1.2620757,1.2637771,1.2541031,1.2600332,1.2632642,1.2585346,1.2587492,1.2587439,1.2542299
1.2657859,1.2620057,1.2633263,1.2541511,1.259715,1.2638003,1.2584732,1.2584722,1.2582445,1.2537239
1.2658225,1.2619357,1.2630696,1.2541991,1.2593968,1.2643527,1.2584583,1.258195,1.2579703,1.2533216
1.2658936,1.2618793,1.2629734,1.254129,1.2591715,1.2646139,1.2584709,1.2579489,1.2577517,1.2529368
1.2659718,1.261783,1.2628192,1.2539711,1.2590009,1.2648,1.2585182,1.2577419,1.2575533,1.2526056
1.2661095,1.2615709,1.2627108,1.2538408,1.2590777,1.264864,1.2586145,1.2575014,1.257355,1.2523379
1.2663006,1.2612178,1.26257,1.2537446,1.259205,1.2648982,1.2587123,1.2572882,1.2573148,1.2521195
1.2665223,1.2608646,1.2625562,1.2536426,1.259337,1.2649251,1.25881,1.2570851,1.2573211,1.2518883
1.2669388,1.2605083,1.2626292,1.2534236,1.2595016,1.2647814,1.2589077,1.2568856,1.2573293,1.2515479
1.2674032,1.2601585,1.2628344,1.2531589,1.2597245,1.2645512,1.2590164,1.2567873,1.2573556,1.2512944
1.2678856,1.259636,1.2629553,1.2529455,1.260113,1.2642882,1.2591115,1.2567332,1.257467,1.2510614
1.2682828,1.2590377,1.2631238,1.2525061,1.260532,1.2635376,1.2593255,1.2565962,1.2577496,1.2509205
1.2686532,1.2584213,1.2633016,1.2520797,1.261042,1.262782,1.2596213,1.2564592,1.258503,1.2509832
1.2690138,1.2577323,1.2635789,1.25166,1.2615787,1.2620264,1.2599299,1.256363,1.2592564,1.2511277
1.2693408,1.2570415,1.2639273,1.2512702,1.262302,1.2612922,1.2602457,1.2563089,1.2600107,1.251282
1.2696676,1.2563508,1.2642757,1.2509156,1.2630318,1.260438,1.2605615,1.2562664,1.2607825,1.2514361
1.2699945,1.25566,1.2646241,1.2505611,1.263763,1.2595949,1.2608774,1.2562395,1.2615542,1.2515904
1.2703214,1.2549751,1.2649724,1.2502066,1.2644941,1.2587719,1.2611932,1.2562127,1.2623305,1.2517445
1.2706484,1.2542973,1.2653209,1.2498521,1.2652252,1.2579489,1.2615091,1.2561858,1.2631135,1.2518988
1.2709839,1.2536193,1.2656692,1.2494974,1.2659563,1.2571259,1.2618248,1.2561613,1.2638966,1.2520529
1.2713221,1.2529415,1.2660177,1.2491429,1.2666874,1.2563028,1.2621406,1.2561373,1.2646796,1.2522072
1.2716604,1.2522637,1.2663661,1.2487884,1.2674185,1.2554798,1.2624565,1.2561132,1.2654625,1.2523613
1.2719988,1.2515858,1.2667145,1.2484443,1.2681496,1.2546569,1.2627723,1.2560891,1.2662455,1.2525156
1.272337,1.250908,1.2670629,1.2481009,1.2688807,1.2538339,1.2630882,1.2560649,1.2670286,1.2526697
1.2726753,1.2502301,1.2674121,1.2477574,1.2696146,1.2530109,1.2634093,1.2560408,1.2678115,1.252824
1.2730135,1.2495514,1.267762,1.2474141,1.2703489,1.2521878,1.2637497,1.2560167,1.2685945,1.2529781
1.2733518,1.2488728,1.2681118,1.2470707,1.2710831,1.2513659,1.2640901,1.2559927,1.2693775,1.2531544
